GeneID,TranscriptID,Reference,Method of Identification,Cell Type,len(3utr),dEJ,#(uORF),Category
PARP6,ENST00000567440,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1128,793,1,siUPF1-Up
PARP6,ENST00000565443,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,522,163,1,siUPF1-Up
PDE4D,ENST00000340635,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,5626,_,0,siUPF1-Up
PDE4D,ENST00000507116,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,976,_,0,siUPF1-Up
PDE4D,ENST00000405755,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,101,_,1,siUPF1-Up
PDE4D,ENST00000317118,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,646,_,1,siUPF1-Up
PDE4D,ENST00000503258,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,103,_,3,siUPF1-Up
PDE4D,ENST00000515835,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,166,_,1,siUPF1-Up
PDE4D,ENST00000360047,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,976,_,0,siUPF1-Up
PDE4D,ENST00000358923,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,892,_,1,siUPF1-Up
PDE4D,ENST00000509368,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2504,184,0,siUPF1-Up
PDRG1,ENST00000202017,Karam et al. 2015; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1/siUPF3B RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,852,_,0,siUPF1-Up
PEA15,ENST00000368076,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1890,_,2,siUPF1-Up
PEA15,ENST00000360472,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1890,_,0,siUPF1-Up
PHACTR2,ENST00000367584,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,475,_,0,siUPF1-Up
PHACTR2,ENST00000440869,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,432,_,1,siUPF1-Up
PHACTR2,ENST00000305766,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,61,_,1,siUPF1-Up
PHACTR2,ENST00000397980,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,187,_,1,siUPF1-Up
PHC2,ENST00000257118,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1239,_,0,siUPF1-Up
PHC2,ENST00000373418,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1239,_,0,siUPF1-Up
PHLDA3,ENST00000367311,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,749,62,0,siUPF1-Up
PHLDA3,ENST00000367309,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,283,62,1,siUPF1-Up
PLAU,ENST00000372764,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,932,_,0,siUPF1-Up
PLAU,ENST00000446342,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,931,_,2,siUPF1-Up
PLCB4,ENST00000414679,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,368,_,0,siUPF1-Up
PLCB4,ENST00000378501,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2233,_,0,siUPF1-Up
PLCB4,ENST00000378473,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1824,_,0,siUPF1-Up
PLCB4,ENST00000378493,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2253,_,0,siUPF1-Up
PLEKHG3,ENST00000247226,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,3189,_,2,siUPF1-Up
PLEKHG3,ENST00000394691,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,589,_,2,siUPF1-Up
PLEKHG3,ENST00000484731,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,642,_,2,siUPF1-Up
PMM1,ENST00000414636,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,318,279,0,siUPF1-Up
PMM1,ENST00000216259,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,424,_,0,siUPF1-Up
PNPLA3,ENST00000406117,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,997,960,0,siUPF1-Up
PNPLA3,ENST00000216180,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1186,_,0,siUPF1-Up
POFUT2,ENST00000331343,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3523,_,0,siUPF1-Up
POFUT2,ENST00000349485,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1554,_,0,siUPF1-Up
POMZP3,ENST00000275569,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,227,_,3,siUPF1-Up
PPIE,ENST00000356511,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,172,_,0,siUPF1-Up
PPIE,ENST00000495526,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,4521,4091,0,siUPF1-Up
PPP1R15A,ENST00000200453,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,84,_,1,siUPF1-Up
PQLC2,ENST00000375153,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,637,_,1,siUPF1-Up
PQLC2,ENST00000400548,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,657,_,0,siUPF1-Up
PQLC2,ENST00000469076,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1183,470,0,siUPF1-Up
PQLC2,ENST00000497827,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,886,470,0,siUPF1-Up
PRKAB1,ENST00000537400,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,283,156,0,siUPF1-Up
PRKAB1,ENST00000229328,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1305,_,0,siUPF1-Up
PRKAB1,ENST00000540121,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,516,_,5,siUPF1-Up
PRNP,ENST00000430350,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1608,_,0,siUPF1-Up
PRR5L,ENST00000530639,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,908,_,2,siUPF1-Up
PRR5L,ENST00000378867,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2468,_,1,siUPF1-Up
PTHLH,ENST00000395868,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,757,_,1,siUPF1-Up
PTHLH,ENST00000545234,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,139,_,0,siUPF1-Up
PTHLH,ENST00000535992,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1016,_,0,siUPF1-Up
PTHLH,ENST00000201015,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1022,_,0,siUPF1-Up
PTPRM,ENST00000580170,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,506,_,0,siUPF1-Up
PTPRM,ENST00000400053,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,694,_,6,siUPF1-Up
PTPRM,ENST00000332175,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,699,_,0,siUPF1-Up
RAB11FIP1,ENST00000287263,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,4277,_,0,siUPF1-Up
RAB11FIP1,ENST00000330843,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3946,_,0,siUPF1-Up
RAB11FIP1,ENST00000522727,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,136,_,2,siUPF1-Up
RABGAP1L,ENST00000469553,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1620,1127,2,siUPF1-Up
RABGAP1L,ENST00000478442,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,277,_,0,siUPF1-Up
RABGAP1L,ENST00000367687,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,592,_,1,siUPF1-Up
RABGAP1L,ENST00000367688,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,484,_,1,siUPF1-Up
RABGAP1L,ENST00000489615,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,5307,_,0,siUPF1-Up
RABGAP1L,ENST00000347255,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,512,_,2,siUPF1-Up
RABGAP1L,ENST00000251507,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,277,_,0,siUPF1-Up
RAPH1,ENST00000308091,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,605,_,0,siUPF1-Up
RAPH1,ENST00000457812,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,736,_,0,siUPF1-Up
RAPH1,ENST00000319170,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,5755,_,0,siUPF1-Up
RASGRF2,ENST00000265080,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,4386,_,0,siUPF1-Up
RASSF1,ENST00000357043,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa; human U2OS,793,_,0,siUPF1-Up
RASSF1,ENST00000482447,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa; human U2OS,1145,205,0,siUPF1-Up
RASSF1,ENST00000359365,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa; human U2OS,793,_,0,siUPF1-Up
RASSF1,ENST00000327761,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa; human U2OS,793,_,0,siUPF1-Up
REEP4,ENST00000523293,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,99,_,0,siUPF1-Up
REEP4,ENST00000306306,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,467,_,0,siUPF1-Up
REEP4,ENST00000334530,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,583,_,0,siUPF1-Up
RELT,ENST00000064780,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1981,_,0,siUPF1-Up
RELT,ENST00000393580,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1149,_,0,siUPF1-Up
RELT,ENST00000544075,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,315,56,0,siUPF1-Up
RGS3,ENST00000374140,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,785,_,1,siUPF1-Up
RGS3,ENST00000394646,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,777,_,4,siUPF1-Up
RGS3,ENST00000317613,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,662,_,0,siUPF1-Up
RGS3,ENST00000374136,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,664,_,1,siUPF1-Up
RHBDD3,ENST00000413137,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,893,559,1,siUPF1-Up
RHBDD3,ENST00000216085,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,208,_,1,siUPF1-Up
RHOB,ENST00000272233,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1383,_,0,siUPF1-Up
RP9,ENST00000297157,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,437,_,0,siUPF1-Up
SERGEF,ENST00000532265,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,214,_,7,siUPF1-Up
SERGEF,ENST00000527494,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,807,441,4,siUPF1-Up
SERGEF,ENST00000530925,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,221,177,5,siUPF1-Up
SERGEF,ENST00000528200,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,379,_,0,siUPF1-Up
SERPINE1,ENST00000223095,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1824,_,0,siUPF1-Up
SESN2,ENST00000253063,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1689,_,1,siUPF1-Up
SFXN5,ENST00000410065,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,59,_,0,siUPF1-Up
SFXN5,ENST00000450185,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2704,201,0,siUPF1-Up
SH3GL3,ENST00000427482,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,456,_,1,siUPF1-Up
SH3GL3,ENST00000324537,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,452,_,7,siUPF1-Up
SH3GL3,ENST00000563901,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1291,633,0,siUPF1-Up
SLC29A2,ENST00000311161,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,1066,_,0,siUPF1-Up
SLC29A2,ENST00000540386,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,1339,313,0,siUPF1-Up
SLC29A2,ENST00000357440,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,914,_,0,siUPF1-Up
SLC29A2,ENST00000541567,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,1607,582,0,siUPF1-Up
SLC29A2,ENST00000544554,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,914,_,0,siUPF1-Up
SLC36A4,ENST00000326402,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,4362,_,0,siUPF1-Up
SLC36A4,ENST00000529184,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,222,_,1,siUPF1-Up
SLC36A4,ENST00000524875,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,243,175,0,siUPF1-Up
SMG1,ENST00000565224,Huang et al. 2011; Lykke-Andersen et al. 2014; Yepiskoposyan et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1/siSMG6,human HeLa; human HEK-293; human HeLa,504,_,0,siUPF1-Up
SMG1,ENST00000446231,Huang et al. 2011; Lykke-Andersen et al. 2014; Yepiskoposyan et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1/siSMG6,human HeLa; human HEK-293; human HeLa,4716,_,0,siUPF1-Up
SNAP25,ENST00000304886,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1221,_,0,siUPF1-Up
SNAP25,ENST00000254976,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1221,_,0,siUPF1-Up
SOCS2,ENST00000340600,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,1566,_,4,siUPF1-Up
SOCS2,ENST00000548537,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,3000,_,1,siUPF1-Up
SOCS2,ENST00000551556,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,127,_,4,siUPF1-Up
SOCS2,ENST00000549122,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,1027,_,3,siUPF1-Up
SORBS2,ENST00000355634,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,305,_,4,siUPF1-Up
SORBS2,ENST00000418609,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,2183,_,1,siUPF1-Up
SPAG1,ENST00000520508,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,261,_,1,siUPF1-Up
SPAG1,ENST00000388798,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,880,_,1,siUPF1-Up
SPAG1,ENST00000251809,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,880,_,0,siUPF1-Up
SSH3,ENST00000308127,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,713,_,0,siUPF1-Up
SSH3,ENST00000532600,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,333,300,0,siUPF1-Up
ST3GAL1,ENST00000399640,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,4916,_,1,siUPF1-Up
ST3GAL1,ENST00000521180,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,4911,_,4,siUPF1-Up
ST3GAL1,ENST00000522652,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,819,_,2,siUPF1-Up
SULT4A1,ENST00000432404,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1987,383,0,siUPF1-Up
SULT4A1,ENST00000422525,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1690,86,0,siUPF1-Up
SULT4A1,ENST00000330884,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1492,_,0,siUPF1-Up
TBC1D22A,ENST00000394449,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1230,640,4,siUPF1-Up
TBC1D22A,ENST00000355704,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,460,_,3,siUPF1-Up
TBC1D22A,ENST00000441162,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,907,312,6,siUPF1-Up
TBC1D22A,ENST00000407381,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,457,_,4,siUPF1-Up
TBC1D22A,ENST00000406733,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,466,_,3,siUPF1-Up
TBL2,ENST00000432538,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,312,_,0,siUPF1-Up
TBL2,ENST00000437521,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,654,531,0,siUPF1-Up
TBL2,ENST00000305632,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,1575,_,0,siUPF1-Up
TBL2,ENST00000424598,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,2108,795,0,siUPF1-Up
TBL2,ENST00000458466,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,491,454,0,siUPF1-Up
TBL2,ENST00000450285,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,1637,324,0,siUPF1-Up
TBL2,ENST00000433464,Huang et al. 2011; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human HeLa; human U2OS,1049,487,0,siUPF1-Up
TBRG1,ENST00000441174,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,2564,_,0,siUPF1-Up
TBRG1,ENST00000284290,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,3769,470,0,siUPF1-Up
TBRG1,ENST00000529543,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1746,414,0,siUPF1-Up
THAP9,ENST00000514440,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,341,252,0,siUPF1-Up
THAP9,ENST00000514244,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,412,281,0,siUPF1-Up
THAP9,ENST00000505901,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3005,488,0,siUPF1-Up
THBS1,ENST00000260356,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,4097,_,0,siUPF1-Up
TMBIM1,ENST00000258412,Hurt et al. 2013; Schmidt et al. 2015,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates ",mouse ES; human HeLa,1283,_,0,siUPF1-Up
TMBIM1,ENST00000437694,Hurt et al. 2013; Schmidt et al. 2015,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates ",mouse ES; human HeLa,266,76,0,siUPF1-Up
TMEM18,ENST00000432667,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2310,607,0,siUPF1-Up
TMEM18,ENST00000405941,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,157,_,0,siUPF1-Up
TMEM18,ENST00000418447,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,429,356,0,siUPF1-Up
TMEM18,ENST00000281017,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2245,_,0,siUPF1-Up
TMEM79,ENST00000357501,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,291,_,1,siUPF1-Up
TMEM79,ENST00000295694,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,845,_,1,siUPF1-Up
TNFRSF12A,ENST00000341627,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,557,_,0,siUPF1-Up
TNFRSF12A,ENST00000573001,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,260,_,1,siUPF1-Up
TNFRSF12A,ENST00000574699,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,268,75,0,siUPF1-Up
TNFRSF12A,ENST00000575124,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,429,_,0,siUPF1-Up
TOLLIP,ENST00000263646,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1386,_,0,siUPF1-Up
TOLLIP,ENST00000525159,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2666,_,0,siUPF1-Up
TOLLIP,ENST00000527886,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2667,_,2,siUPF1-Up
TOLLIP,ENST00000317204,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2668,_,0,siUPF1-Up
TOLLIP,ENST00000527938,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,181,_,0,siUPF1-Up
TOM1L2,ENST00000318094,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,786,_,0,siUPF1-Up
TOM1L2,ENST00000540946,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,166,_,0,siUPF1-Up
TOM1L2,ENST00000581396,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,4121,_,0,siUPF1-Up
TOM1L2,ENST00000535933,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,189,_,0,siUPF1-Up
TOM1L2,ENST00000478943,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,810,_,3,siUPF1-Up
TOM1L2,ENST00000542206,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,66,_,0,siUPF1-Up
TOM1L2,ENST00000395739,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,286,_,0,siUPF1-Up
TPCN2,ENST00000542467,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,250,_,0,siUPF1-Up
TPCN2,ENST00000294309,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,571,_,0,siUPF1-Up
TRIM16L,ENST00000572555,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,207,_,3,siUPF1-Up
TRIM16L,ENST00000395671,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,658,_,3,siUPF1-Up
TRIM16L,ENST00000571708,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,30,_,5,siUPF1-Up
TRIM39,ENST00000433900,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,4,siUPF1-Up
,ENST00000430502,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000548002,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1469,_,1,siUPF1-Up
,ENST00000419790,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,4,siUPF1-Up
,ENST00000443109,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000376656,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1469,_,1,siUPF1-Up
,ENST00000426469,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000396551,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000552520,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1469,_,1,siUPF1-Up
,ENST00000396547,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000452705,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000438859,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
,ENST00000376659,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,4,siUPF1-Up
,ENST00000396548,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1470,_,1,siUPF1-Up
TRMT61A,ENST00000389749,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2252,_,0,siUPF1-Up
